"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|spawners|effective spawning output","mass","weight"
"21","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",328,1,14,0,244,0,0,0,254,0,0,0,0,0,0,55,17,8,0,7,3,0,19,2,31
"22","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",53,1,6,0,5,0,2,0,5,0,0,0,0,0,0,16,2,0,0,17,18,0,9,0,13
"23","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",31,0,4,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,3,0,0
"24","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",151,2,32,2,42,0,0,0,6,2,0,0,0,2,5,0,1,4,0,66,3,0,25,1,37
"25","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",84,1,10,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,8
"26","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",31,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"27","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",71,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0
"28","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0
"29","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",32,2,20,0,2,0,4,0,0,0,0,0,0,0,4,1,13,28,0,24,11,0,4,1,9
"30","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",101,2,33,1,18,0,0,0,0,0,0,0,0,1,1,0,1,0,0,26,20,0,8,0,19
"31","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",18,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
"32","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",183,2,74,2,217,6,5,0,9,11,0,0,0,0,12,0,2,0,0,197,8,1,126,1,104
"33","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",186,1,31,1,23,0,0,0,1,10,4,0,0,1,9,0,2,11,0,80,8,1,21,21,32
"34","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",42,0,16,0,4,0,0,0,0,0,2,0,0,1,3,0,0,6,0,26,12,0,12,0,3
"35","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",43,1,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"36","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",27,0,6,0,1,0,0,0,1,5,0,1,1,0,0,0,0,20,0,2,2,0,3,1,7
"37","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",269,1,53,4,112,11,2,2,16,2,0,0,0,0,23,0,1,13,0,183,98,0,83,0,57
