"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"23","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",16,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",56,6,18,31,0,0,0,0,0,0,0,0,0,17,0,3,1,0,22,0,0,0,3,0,1,0,0,15,0,0,0,24,0,115,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"25","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",73,3,29,40,0,0,0,0,0,0,0,0,0,21,1,6,1,0,20,0,1,0,0,0,0,0,0,14,0,0,0,24,0,120,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
"26","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,9,0,97,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",31,2,16,22,0,0,0,0,0,0,0,0,0,17,0,1,0,0,14,0,0,0,0,0,0,0,0,12,0,0,0,16,0,59,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"28","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",474,95,93,101,0,0,0,0,0,0,1,0,0,76,53,14,0,0,123,2,10,0,7,1,1,0,0,336,0,0,0,49,45,1767,0,0,0,0,0,18,0,66,11,1,0,1,0,6,0,0,5,0,0,2,0,0,0,0,0,0,1
"29","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",30,4,14,18,0,0,0,0,0,0,0,0,0,4,3,0,0,4,15,0,1,0,0,0,0,0,0,4,0,0,0,4,0,111,0,0,0,0,0,2,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"30","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",40,3,24,34,0,0,0,0,0,0,0,0,0,14,0,2,0,0,12,0,0,0,19,0,1,0,0,27,0,0,0,28,0,106,0,0,0,0,0,13,0,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",117,10,1,10,0,0,0,0,0,0,0,0,0,4,13,0,0,1,78,2,0,0,0,0,0,0,0,39,0,0,0,0,2,330,0,0,22,0,0,0,0,8,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0
"32","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",93,7,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,40,2,1,0,0,0,0,0,0,20,0,0,0,0,9,187,0,0,0,0,0,0,0,5,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
