"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"30","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",0.12,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.06,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.41,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",0.24,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
"32","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",0.05,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",0.1,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.06,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0.44,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",0.12,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.57,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",0.12,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",0.33,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.04,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.53,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
"37","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",0.08,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.55,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",0.3,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0.06,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0.01,0,0.62,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.05,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
"39","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",0.18,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0.03,0,0,0,0.06,0,0.64,0,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",0.22,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.13,0,0,0.02,0,0,0,0,0,0.05,0,0,0,0.01,0,1.08,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",0.1,0.02,0.05,0.08,0,0,0,0,0,0,0,0,0,0.11,0.03,0,0,0,0.09,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
"42","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",0.18,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0.04,0,0,0,0.05,0,0.67,0,0,0.06,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",0.15,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0.72,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",0.31,0.03,0.07,0.08,0,0,0,0,0,0,0,0,0,0.05,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0.03,0,0,0,0.13,0,0.48,0,0,0,0,0,0.06,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",0.18,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.57,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",0.26,0.03,0.08,0.14,0,0,0,0,0,0,0,0,0,0.08,0,0.01,0,0,0.1,0,0,0,0.01,0,0,0,0,0.07,0,0,0,0.11,0,0.53,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
