"ID","Source","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"49","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",1.11,0.28,0.01,0.12,0.13,0.16,0,0.09,0,0.11,0,2.06,0.04,0.1,0,0,0.06,0,0,0
"50","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",1,0.03,0,0.02,0.06,0.05,0.01,0.08,0,0.01,0.01,1.63,0,0.08,0,0,0,0,0,0
"51","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",1.11,0.23,0,0.03,0.06,0.13,0,0.03,0,0.03,0,2.55,0.01,0.15,0.01,0.01,0.1,0,0,0
"52","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",0.91,0.27,0.01,0.07,0.09,0.07,0.1,0.14,0,0.14,0,2.08,0.07,0.09,0.02,0,0.03,0,0,0
"53","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",0.99,0.04,0,0.01,0.03,0.19,0,0.06,0,0,0,1.82,0,0.14,0,0,0.01,0,0,0
"54","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",0.68,0.01,0,0.01,0.01,0.13,0,0.03,0,0,0.02,1.09,0,0.13,0.01,0,0,0,0,0
"55","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",0.6,0.04,0.02,0.01,0.01,0.07,0.01,0.03,0.01,0.02,0,1.41,0,0.02,0.03,0,0.01,0.01,0.01,0
"56","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",1.12,0.03,0.03,0.02,0.03,0.09,0.01,0.03,0.01,0.01,0.01,1.88,0,0.07,0.01,0,0.01,0,0.01,0
"57","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Blue-Deacon_Assessment_2017_Final.pdf",1.24,0.03,0.02,0.02,0.02,0.09,0.03,0.04,0.01,0.01,0.01,2.12,0,0.03,0.01,0.01,0.01,0.01,0.01,0
"58","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/c-6-attachment-1-full-assessment-electronic-only-status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021.pdf",0.94,0.03,0.03,0.01,0.02,0.08,0.02,0.05,0.01,0.01,0,2,0,0.04,0.01,0.01,0.01,0.14,0,0
"59","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Cabezon-2019_FINAL.pdf",1.13,0.06,0.03,0.05,0.06,0.09,0.02,0.02,0.03,0.01,0,1.91,0,0.08,0.02,0.01,0.01,0.01,0.01,0
"60","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/California Scorpionfish.pdf",0.97,0.02,0.02,0.03,0.03,0.12,0.02,0.03,0.01,0,0.01,2.26,0,0.05,0.02,0,0.01,0.02,0,0
"61","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/dover_sole_december_2021_final.pdf",1.04,0.05,0.03,0.02,0.03,0.06,0.01,0.03,0.01,0.01,0,1.94,0,0.09,0.02,0.01,0.01,0.04,0,0
"62","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/g-5-attachment-3-draft-full-assessment-of-status-of-the-pacific-spiny-dogfish-shark-resource-off-the-continental-u-s-pacific-coast-in-2021-electronic-only.pdf",1.04,0.03,0.03,0.02,0.04,0.15,0,0.06,0.02,0.01,0,2.43,0,0.04,0.03,0.01,0,0.01,0.01,0
"63","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Gopher_BlackandYellow_Assessment_2019-1.pdf",1.12,0.01,0.02,0.04,0.05,0.14,0.02,0.05,0.01,0,0,2.2,0,0.03,0.03,0.01,0.01,0,0.01,0
"64","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/hake-assessment-post-srg-final_20210303.pdf",0.92,0.06,0.02,0.04,0.05,0.12,0.01,0.01,0.02,0.01,0,1.5,0,0.11,0,0.01,0.02,0,0.01,0
"65","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Longnose skate 2019_FINAL.pdf",1.09,0.06,0.03,0.02,0.03,0.13,0.01,0.07,0.02,0.01,0,1.93,0,0.08,0.03,0.01,0,0.01,0.01,0
"66","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/PacificOceanPerch2017_Assessment_Final.pdf",0.95,0.01,0.02,0.03,0.04,0.08,0.02,0.03,0.01,0,0,2.1,0,0.07,0.01,0.01,0.01,0.01,0,0
"67","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/sablefish_20191022.pdf",1.22,0.04,0.01,0.08,0.11,0.08,0.01,0.02,0.01,0,0.01,2.18,0,0.06,0,0,0.01,0.01,0,0
"68","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",0.51,0.03,0.01,0.02,0.03,0.05,0,0.05,0.01,0,0,1.19,0,0.04,0.01,0.01,0.01,0.01,0,0
"69","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",0.92,0.03,0.02,0.03,0.05,0.12,0.02,0.02,0.02,0.01,0,2.25,0,0.04,0.03,0.02,0,0.01,0.01,0
"70","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",0.9,0.01,0.01,0.01,0.03,0.07,0.01,0.02,0.01,0,0,1.96,0,0.05,0.01,0,0.01,0.01,0,0
"71","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",1.14,0.02,0.01,0,0.01,0.23,0,0,0.1,0,0.01,1.76,0,0.04,0,0,0,0,0,0
"72","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",1.17,0.01,0.02,0,0,0.2,0.18,0,0,0.07,0,2.02,0,0.08,0,0,0.01,0,0,0
"73","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",1.31,0.03,0.01,0.01,0.01,0.2,0,0,0.12,0,0.01,1.99,0,0.07,0,0,0,0,0,0
"74","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_21164_DS1.pdf",1.4,0.01,0.02,0,0,0.23,0.07,0,0,0.19,0,2.23,0,0.12,0,0,0.01,0,0,0
